Pais;Grupo quinquenal de edad;Sexo;Periodo;Poblacion
Nigeria;Todas las edades;Hombres;1 de enero de 2023;19438
Nigeria;Todas las edades;Mujeres;1 de enero de 2023;13952
Senegal;Todas las edades;Total;1 de enero de 2023;91568
Senegal;Todas las edades;Hombres;1 de enero de 2023;73269
Senegal;Todas las edades;Mujeres;1 de enero de 2023;18299
Otro pais de Africa;Todas las edades;Total;1 de enero de 2023;72699
Otro pais de Africa;Todas las edades;Hombres;1 de enero de 2023;43759
Otro pais de Africa;Todas las edades;Mujeres;1 de enero de 2023;28940
America del Norte;Todas las edades;Total;1 de enero de 2023;145865
America del Norte;Todas las edades;Hombres;1 de enero de 2023;64127
America del Norte;Todas las edades;Mujeres;1 de enero de 2023;81738
Estados Unidos de America;Todas las edades;Total;1 de enero de 2023;64227
Estados Unidos de America;Todas las edades;Hombres;1 de enero de 2023;30006
Estados Unidos de America;Todas las edades;Mujeres;1 de enero de 2023;34221
Mexico;Todas las edades;Total;1 de enero de 2023;72669
Mexico;Todas las edades;Hombres;1 de enero de 2023;29827
Mexico;Todas las edades;Mujeres;1 de enero de 2023;42842
Canada;Todas las edades;Total;1 de enero de 2023;8969
Canada;Todas las edades;Hombres;1 de enero de 2023;4294
Canada;Todas las edades;Mujeres;1 de enero de 2023;4675
Centro America y Caribe;Todas las edades;Total;1 de enero de 2023;720178
Centro America y Caribe;Todas las edades;Hombres;1 de enero de 2023;278283
Centro America y Caribe;Todas las edades;Mujeres;1 de enero de 2023;441895
Cuba;Todas las edades;Total;1 de enero de 2023;198639
Cuba;Todas las edades;Hombres;1 de enero de 2023;90652
Cuba;Todas las edades;Mujeres;1 de enero de 2023;107987
Honduras;Todas las edades;Total;1 de enero de 2023;177616
Honduras;Todas las edades;Hombres;1 de enero de 2023;55100
Honduras;Todas las edades;Mujeres;1 de enero de 2023;122516
Nicaragua;Todas las edades;Total;1 de enero de 2023;80013
Nicaragua;Todas las edades;Hombres;1 de enero de 2023;24255
Nicaragua;Todas las edades;Mujeres;1 de enero de 2023;55758
Republica Dominicana;Todas las edades;Total;1 de enero de 2023;193653
Republica Dominicana;Todas las edades;Hombres;1 de enero de 2023;78867
Republica Dominicana;Todas las edades;Mujeres;1 de enero de 2023;114786
Otro pais de Centro America y Caribe;Todas las edades;Total;1 de enero de 2023;70257
Otro pais de Centro America y Caribe;Todas las edades;Hombres;1 de enero de 2023;29409
Otro pais de Centro America y Caribe;Todas las edades;Mujeres;1 de enero de 2023;40848
Sudamerica;Todas las edades;Total;1 de enero de 2023;2996913
Sudamerica;Todas las edades;Hombres;1 de enero de 2023;1328628
Sudamerica;Todas las edades;Mujeres;1 de enero de 2023;1668285
Argentina;Todas las edades;Total;1 de enero de 2023;373064
Argentina;Todas las edades;Hombres;1 de enero de 2023;187001
Argentina;Todas las edades;Mujeres;1 de enero de 2023;186063
Bolivia;Todas las edades;Total;1 de enero de 2023;183734
Bolivia;Todas las edades;Hombres;1 de enero de 2023;74687
Bolivia;Todas las edades;Mujeres;1 de enero de 2023;109047
Brasil;Todas las edades;Total;1 de enero de 2023;167265
Brasil;Todas las edades;Hombres;1 de enero de 2023;63807
Brasil;Todas las edades;Mujeres;1 de enero de 2023;103458
Colombia;Todas las edades;Total;1 de enero de 2023;715655
Colombia;Todas las edades;Hombres;1 de enero de 2023;307117
Colombia;Todas las edades;Mujeres;1 de enero de 2023;408538
Chile;Todas las edades;Total;1 de enero de 2023;70307
Chile;Todas las edades;Hombres;1 de enero de 2023;32991
Chile;Todas las edades;Mujeres;1 de enero de 2023;37316
